Replay 7|false|11160
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.1584496556471535e-10,1.0000001192092896,-1.860788145791048e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.8509330179661276e-10,1.0000001192092896,-2.973106560943961e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|2.5428248395797937e-10,1.0000001192092896,-4.084474625187795e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.710128844090164e-10,1.0000001192092896,-2.7469361896237388e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|4.624185756529897e-11,1.0000001192092896,-7.427711778973389e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-3.684999874686845e-11,1.0000001192092896,5.919121193187493e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.198708771132928e-10,1.0000001192092896,1.9254553507153105e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-2.442692159654314e-10,1.0000001192092896,3.9236340398929315e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.7386328488022684e-10,1.0000001192092896,2.7927216095235963e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.0351754176074479e-10,1.0000001192092896,1.6627758725462627e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.8884284327252976e-12,1.0000001192092896,-3.033334416979727e-10|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|7.208403318692547e-11,1.0000001192092896,-1.1578674019574464e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.4221968047678502e-10,1.0000001192092896,-2.2844384162112874e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|2.122953757233148e-10,1.0000001192092896,-3.4100466450581735e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|2.076112060045432e-10,1.0000001192092896,-3.334805853683065e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.282629280563441e-10,1.0000001192092896,-2.0602547223802503e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|4.8982436162692267e-11,1.0000001192092896,-7.867924090021461e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-3.023032171811657e-11,1.0000001192092896,4.8558197462966746e-09|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.0937541844446841e-10,1.0000001192092896,1.756869494329294e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.884528644247041e-10,1.0000001192092896,3.0270701500967334e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.632283336272522e-10,1.0000001192092896,2.6218950566203603e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-6.622510873022236e-11,1.0000001192092896,1.0637570824201248e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|-1.6253390777362653e-12,1.0000001192092896,2.6107405126651884e-10|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|6.291923926315945e-11,1.0000001192092896,-1.0106556480593554e-08|Running
-922.9647216796875,168.99998474121094,875.945556640625|0.9999806880950928,0,0.006225465796887875|1.5963270982854993e-10,1.0000001192092896,-2.5641394785225202e-08|Running
